Angels from the realms of glory,-,,OBC,SATB,TRUE,,,Cab 1 C37,
Angelus,Mathias,William,,SSAA,TRUE,Marian,,Shelf,EAC2
Angelus ad virginum,Anon,,,SATB,TRUE,,,Cab 1 C1,
As now the sun's declining rays,Stanford,,,SATB,TRUE,,,Shelf,FSB5
Ash Wednesday introit,tone VII,,,SATB,FALSE,,,Cab 2 17A,
At thy feet,Bach,,,SATB,TRUE,,,Shelf,CSB3
At your feet we fall,Fellingham,Dave,,SATB,TRUE,,,Shelf,SWAMS
Australian carols,?,,,SATB,TRUE,,,Shelf,
Author of life divine,McDowall,Cecilia,,SA(T)(B),TRUE,,,Shelf,FA1
Ave Maria,Lindley,Simon,,SS,TRUE,Marian,,Shelf,EAC2
Ave maria,Bullard,Alan,,S(A)(T)(B),TRUE,,,Shelf,EFA
Ave maria,Bruckner,Anton,,SATB (div),FALSE,,,Shelf,ESM
Ave maria,Desprez,Josquin,,SATB,FALSE,,,Shelf,ESM
Ave maria,Stravinsky,Igor,,SATB,FALSE,,,Shelf,ESM
Ave maria,Verdi,Giuseppe,,SATB,FALSE,,,Shelf,ESM
Ave maria,Victoria,,,SATB,FALSE,,,Shelf,ESM
Ave maria,Poulenc,,,SATB,TRUE,,,Cab 1 31,
Ave maria,Lindley,Simon,,SATB,TRUE,,,Cab 1 65,
Ave maria,Franck,,,SATB,TRUE,,,Cab 2 19A,
Ave maris stella,Grieg,Edvard,,SATB (div),FALSE,,,Shelf,ESM
Ave verum,Adap from plainchant,,,SATB,TRUE,,,Shelf,12EA
Ave verum,Peeters,,,SATB,TRUE,,,Shelf,AWTEFC
Ave verum,Mozart,,,SATB,TRUE,,,Shelf,COC
Ave verum,Byrd,,,SATB,FALSE,,,Shelf,MFHC
Ave verum,Vittoria,,,SATB,FALSE,,,Shelf,MFHC
Ave verum,Byrd,,,SATB,FALSE,,,Cab 2 45,
Ave verum,Carissimi,,,SATB,FALSE,,,Cab 1 53,
Ave verum,Elgar,,,SATB,TRUE,,,Cab 1 19,
Ave verum,Faure,,,SATB,TRUE,,,Cab 1 112,
Ave verum,Mozart,,,SATB,TRUE,,,Cab 1 103,
